1892,-0.133,-0.119,-0.334,-0.291,-0.302,-0.382,-0.539,-0.403,-0.349,-0.508,-0.670,-0.527,-0.380,
1893,-0.532,-0.420,-0.477,-0.444,-0.472,-0.321,-0.143,-0.245,-0.531,-0.259,-0.524,-0.506,-0.406,
1894,-0.600,-0.640,-0.625,-0.349,-0.425,-0.508,-0.166,-0.357,-0.284,-0.441,-0.378,-0.447,-0.435,
1895,-0.271,-0.293,-0.576,-0.395,-0.287,-0.203,-0.211,-0.274,-0.114,-0.068,-0.128,-0.245,-0.255,
1896,-0.293,-0.253,-0.154,-0.067,-0.030,0.022,0.024,0.035,0.146,-0.139,-0.016,0.050,-0.057,
1897,-0.017,-0.073,0.162,0.050,-0.055,-0.049,0.007,-0.077,-0.197,-0.180,-0.233,-0.242,-0.075,
1898,-0.186,-0.192,-0.177,-0.297,-0.346,-0.167,-0.169,-0.218,-0.207,-0.337,-0.302,-0.339,-0.242,
1899,-0.217,-0.339,-0.432,-0.261,-0.154,-0.306,-0.072,-0.049,-0.150,-0.128,-0.122,-0.178,-0.201,
1900,-0.063,-0.020,-0.071,0.043,-0.248,-0.017,-0.084,-0.045,-0.096,0.030,-0.076,-0.082,-0.061,
1901,-0.086,-0.091,-0.315,-0.170,-0.177,-0.107,-0.119,-0.122,-0.291,-0.253,-0.330,-0.442,-0.208,
1902,-0.475,-0.495,-0.405,-0.375,-0.384,-0.495,-0.457,-0.380,-0.254,-0.201,-0.194,-0.260,-0.365,
1903,-0.136,-0.313,-0.187,-0.312,-0.356,-0.434,-0.489,-0.728,-0.489,-0.617,-0.675,-0.543,-0.440,
1904,-0.623,-0.632,-0.609,-0.464,-0.483,-0.471,-0.445,-0.497,-0.456,-0.387,-0.459,-0.472,-0.500,
1905,-0.495,-0.466,-0.520,-0.504,-0.288,-0.241,-0.069,-0.357,-0.353,-0.375,-0.371,-0.343,-0.366,
1906,-0.166,-0.185,-0.141,-0.246,-0.368,-0.225,-0.244,-0.262,-0.371,-0.333,-0.382,-0.426,-0.280,
1907,-0.374,-0.481,-0.373,-0.440,-0.312,-0.390,-0.309,-0.530,-0.479,-0.422,-0.413,-0.413,-0.412,
1908,-0.475,-0.479,-0.616,-0.486,-0.442,-0.430,-0.479,-0.408,-0.487,-0.447,-0.502,-0.576,-0.486,
1909,-0.374,-0.521,-0.629,-0.482,-0.427,-0.470,-0.537,-0.397,-0.495,-0.456,-0.611,-0.523,-0.494,
1910,-0.418,-0.564,-0.639,-0.600,-0.492,-0.474,-0.640,-0.515,-0.411,-0.430,-0.521,-0.608,-0.525,
1911,-0.405,-0.615,-0.479,-0.657,-0.537,-0.476,-0.506,-0.376,-0.294,-0.384,-0.361,-0.377,-0.456,
1912,-0.395,-0.325,-0.223,-0.282,-0.277,-0.248,-0.323,-0.488,-0.595,-0.639,-0.618,-0.673,-0.425,
1913,-0.554,-0.561,-0.547,-0.578,-0.524,-0.555,-0.569,-0.565,-0.563,-0.428,-0.454,-0.407,-0.525,
1914,-0.437,-0.377,-0.456,-0.372,-0.271,-0.350,-0.329,-0.309,-0.330,-0.190,-0.275,-0.211,-0.327,
1915,-0.201,-0.325,-0.237,-0.288,-0.265,-0.046,-0.004,0.087,-0.062,-0.151,-0.153,-0.265,-0.159,
1916,-0.377,-0.314,-0.407,-0.377,-0.385,-0.348,-0.259,-0.336,-0.363,-0.430,-0.548,-0.518,-0.390,
1917,-0.645,-0.544,-0.499,-0.412,-0.522,-0.298,-0.408,-0.299,-0.297,-0.327,-0.461,-0.388,-0.424,
1918,-0.488,-0.506,-0.497,-0.360,-0.321,-0.440,-0.429,-0.353,-0.394,-0.337,-0.261,-0.260,-0.387,
1919,-0.305,-0.262,-0.318,-0.202,-0.400,-0.394,-0.394,-0.457,-0.415,-0.332,-0.420,-0.586,-0.374,
1920,-0.431,-0.292,-0.303,-0.349,-0.232,-0.241,-0.221,-0.357,-0.383,-0.276,-0.278,-0.311,-0.305,
1921,-0.315,-0.222,-0.305,-0.147,-0.247,-0.222,-0.146,-0.206,-0.155,-0.101,-0.275,-0.150,-0.208,
1922,-0.246,-0.190,-0.168,-0.243,-0.277,-0.290,-0.271,-0.306,-0.299,-0.365,-0.342,-0.366,-0.281,
1923,-0.403,-0.409,-0.463,-0.290,-0.256,-0.291,-0.247,-0.325,-0.259,-0.257,-0.127,-0.151,-0.289,
1924,-0.214,-0.201,-0.208,-0.110,-0.082,-0.109,-0.122,-0.233,-0.189,-0.298,-0.392,-0.457,-0.217,
1925,-0.333,-0.420,-0.304,-0.290,-0.090,-0.201,-0.099,-0.116,-0.095,-0.131,-0.139,-0.131,-0.198,
1926,-0.054,-0.048,-0.084,-0.021,-0.102,-0.022,-0.044,-0.009,0.074,0.063,-0.042,-0.087,-0.033,
1927,-0.083,-0.146,-0.141,-0.125,-0.113,-0.137,-0.092,0.071,-0.098,0.019,0.001,-0.046,-0.072,
1928,-0.011,-0.166,-0.116,-0.152,-0.159,-0.202,-0.078,-0.131,-0.086,-0.165,-0.271,-0.285,-0.152,
1929,-0.325,-0.299,-0.346,-0.259,-0.252,-0.243,-0.228,-0.082,-0.078,-0.122,-0.154,-0.163,-0.213,
1930,-0.149,-0.166,-0.145,-0.069,-0.105,-0.111,-0.016,0.049,0.184,0.098,0.090,0.052,-0.023,
1931,0.036,-0.024,-0.007,-0.059,0.032,0.069,-0.007,0.080,0.053,-0.041,-0.110,-0.114,-0.007,
1932,-0.130,-0.093,-0.172,-0.174,-0.095,-0.142,-0.086,-0.024,-0.008,-0.086,-0.142,-0.119,-0.105,
1933,-0.084,-0.102,-0.101,-0.032,-0.086,-0.173,-0.086,-0.144,-0.238,-0.166,-0.265,-0.250,-0.143,
1934,-0.261,-0.322,-0.323,-0.208,-0.137,0.003,0.013,-0.036,0.020,-0.175,-0.154,-0.159,-0.144,
1935,-0.149,-0.170,-0.188,-0.092,-0.080,-0.080,-0.079,-0.056,-0.152,-0.066,-0.131,-0.105,-0.112,
